 County Code ,District Code,School Code,Local Educational Agency ,Charter Number," TK/K-3 ADA
Target, B-5/B-1 "," 4 - 6 ADA
Target, B-6/B-2 "," 7 - 8 ADA
Target, B-7/B-3 "," 9 - 12 ADA
Target, B-8/B-4 ","Unduplicated Pupil Percentage
Target, D-1"," Base Grant Funding
Target, C-5 "," Supplemental Grant Funding
Target, D-7 "," Concentration Grant Funding
Target, E-8 "," Necessary Small Schools Allowance
Target, F-1 "," Add-On (Based on 2012-13 Targeted Instructional Improvement Block Grant)
Target, F-2 "," Add-On (Based on 2012-13 Home-to-School Transportation)
Target, F-3 "," Add-On (Based on 2012-13 Small School District Bus Replacement Program)
Target, F-4 "," Total LCFF Target Entitlement
Target, G-1/F-1 "," Total LCFF Floor Entitlement
Transition, B-13 "," Current Year Gap Funding (100%)
Transition, C-3 "," Economic Recovery Target
Transition, D-1 "," Miscellaneous Adjustments
Transition, E-1 "," Total Local Revenue or In-Lieu of Property Taxes
Transition, F-2/F-7 "," Education Protection Account Entitlement
Transition, F-5/F-9 "," Net State Aid
Transition, F-6/F-10 "," Additional SA for MSA Guarantee
Transition, H-1/H-2 "
19,64287,1996479,Opportunities for Learning - Baldwin Park,0402, -   , -   , 40.41 ," 4,697.91 ", 0.7011 ," 43,859,964 "," 6,150,044 "," 3,313,620 ", N/A , N/A , N/A , N/A ," 53,323,628 "," 50,723,314 "," 2,600,314 ", - , - ," 4,442,838 "," 8,959,111 "," 39,921,679 ", - 
19,64295,0000000,Bassett Unified,N/A," 1,085.38 ", 813.20 , 502.03 ," 1,009.80 ", 0.9159 ," 28,368,503 "," 5,196,543 "," 5,190,017 ", - ," 63,934 "," 396,701 ", - ," 39,215,698 "," 37,350,525 "," 1,865,173 ", - , - ," 7,594,383 "," 5,526,685 "," 26,094,630 ", - 
19,64303,0000000,Bellflower Unified,N/A," 3,477.59 "," 2,721.16 "," 1,721.92 "," 3,651.25 ", 0.7110 ," 96,507,380 "," 13,723,350 "," 7,768,844 ", - ," 560,360 "," 418,536 ", - ," 118,978,470 "," 112,345,248 "," 6,633,222 ", - , - ," 22,357,374 "," 18,786,484 "," 77,834,612 ", - 
19,64311,0000000,Beverly Hills Unified,N/A, 914.95 , 870.33 , 574.46 ," 1,405.72 ", 0.1859 ," 31,631,990 "," 1,176,077 ", - , - , - , - , - ," 32,808,067 "," 30,617,594 "," 2,190,473 "," 2,056,521 ", - ," 52,145,318 "," 753,092 ", - ," 1,338,733 "
19,64329,0000000,Bonita Unified,N/A," 2,807.77 "," 2,190.29 "," 1,424.72 "," 3,334.39 ", 0.3908 ," 81,718,250 "," 6,387,098 ", - , - ," 590,838 "," 1,048,259 ", - ," 89,744,445 "," 83,905,458 "," 5,838,987 ", - , - ," 22,986,092 "," 15,826,161 "," 50,932,192 ", - 
19,64337,0000000,Burbank Unified,N/A," 4,083.29 "," 3,133.47 "," 2,227.20 "," 5,170.10 ", 0.3934 ," 122,634,302 "," 9,648,867 ", - , - ," 880,303 "," 297,319 ", - ," 133,460,791 "," 124,645,148 "," 8,815,643 ", - , - ," 52,956,231 "," 23,723,642 "," 56,780,918 ", - 
19,64345,0000000,Castaic Union,N/A, 852.67 , 707.30 , 527.58 , -   , 0.3314 ," 16,489,719 "," 1,092,939 ", - , - , - ," 188,751 ", - ," 17,771,409 "," 16,826,745 "," 944,664 ", - , - ," 5,765,590 "," 3,243,261 "," 8,762,558 ", - 
19,64352,0000000,Centinela Valley Union High,N/A, -   , -   , -   ," 6,021.92 ", 0.8616 ," 55,817,176 "," 9,618,416 "," 8,696,316 ", - ," 226,817 "," 543,439 ", - ," 74,902,164 "," 70,247,687 "," 4,654,477 ", - , - ," 20,376,393 "," 11,948,312 "," 42,577,459 ", - 
19,64352,0128488,Family First Charter,1558, -   , -   , -   , 341.30 , 0.3968 ," 3,163,510 "," 251,056 ", - , N/A , N/A , N/A , N/A ," 3,414,566 "," 3,246,296 "," 168,270 ", - , - ," 1,074,327 "," 68,260 "," 2,271,979 ", - 
19,64352,0128496,New Opportunities Charter,1557, -   , -   , -   , 375.10 , 0.2765 ," 3,476,802 "," 192,267 ", - , N/A , N/A , N/A , N/A ," 3,669,069 "," 3,446,292 "," 222,777 ", - , - ," 1,180,721 "," 75,020 "," 2,413,328 ", - 
